id,query,createdAt,updatedAt,UserId
78,WaShuGolf,2024-06-11 17:55:17.547000+00:00,2024-06-11 17:55:17.547000+00:00,320
79,kimberlyanne68,2024-06-11 17:57:14.114000+00:00,2024-06-11 17:57:14.114000+00:00,297
80,MSTwitir3K,2024-06-11 17:57:39.457000+00:00,2024-06-11 17:57:39.457000+00:00,297
81,kimberlyanne68,2024-06-11 17:58:53.701000+00:00,2024-06-11 17:58:53.701000+00:00,292
82,i7fae4c8ba,2024-06-11 20:46:42.500000+00:00,2024-06-11 20:46:42.500000+00:00,311
83,Jon_Q_Vaxy,2024-06-11 20:48:55.948000+00:00,2024-06-11 20:48:55.948000+00:00,329
84,Mike37129703,2024-06-11 20:50:30.806000+00:00,2024-06-11 20:50:30.806000+00:00,304
85,Mike37129703,2024-06-11 20:52:26.331000+00:00,2024-06-11 20:52:26.331000+00:00,140
86,Mike37129703,2024-06-11 20:53:07.634000+00:00,2024-06-11 20:53:07.634000+00:00,147
87,gn2fqqj4ws,2024-06-11 20:55:50.570000+00:00,2024-06-11 20:55:50.570000+00:00,300
88,gn2fqqj4ws,2024-06-11 20:56:27.573000+00:00,2024-06-11 20:56:27.573000+00:00,303
89,Landorcan,2024-06-11 20:57:39.656000+00:00,2024-06-11 20:57:39.656000+00:00,332
90,PipkinDebbie,2024-06-11 20:58:21.305000+00:00,2024-06-11 20:58:21.305000+00:00,332
91,ivy688,2024-06-11 20:59:25.990000+00:00,2024-06-11 20:59:25.990000+00:00,254
92,yingeli,2024-06-11 21:00:35.471000+00:00,2024-06-11 21:00:35.471000+00:00,328
93,ivy688,2024-06-11 21:04:33.848000+00:00,2024-06-11 21:04:33.848000+00:00,302
94,pistach01,2024-06-11 21:06:08.636000+00:00,2024-06-11 21:06:08.636000+00:00,344
95,mariojoseh555,2024-06-11 21:07:57.844000+00:00,2024-06-11 21:07:57.844000+00:00,398
96,gmo,2024-06-11 21:10:48.265000+00:00,2024-06-11 21:10:48.265000+00:00,338
97,marylispastit,2024-06-11 21:11:21.870000+00:00,2024-06-11 21:11:21.870000+00:00,338
98,_AXIIV,2024-06-11 21:12:02.425000+00:00,2024-06-11 21:12:02.425000+00:00,142
99,roo_the_day,2024-06-11 21:13:35.202000+00:00,2024-06-11 21:13:35.202000+00:00,261
100,Mikeallenswing,2024-06-11 21:14:25.637000+00:00,2024-06-11 21:14:25.637000+00:00,23
101,Hamish102822,2024-06-11 22:17:12.013000+00:00,2024-06-11 22:17:12.013000+00:00,150
102,Hamish102822,2024-06-11 22:18:18.925000+00:00,2024-06-11 22:18:18.925000+00:00,67
103,WillSeattle,2024-06-11 22:18:56.922000+00:00,2024-06-11 22:18:56.922000+00:00,67
104,MSTwitir3K,2024-06-11 22:19:57.501000+00:00,2024-06-11 22:19:57.501000+00:00,324
105,Kraytur1,2024-06-11 22:22:32.190000+00:00,2024-06-11 22:22:32.190000+00:00,79
106,feroshx,2024-06-11 22:23:43.653000+00:00,2024-06-11 22:23:43.653000+00:00,327
107,feroshx,2024-06-11 22:24:59.060000+00:00,2024-06-11 22:24:59.060000+00:00,106
108,feroshx,2024-06-11 22:25:41.226000+00:00,2024-06-11 22:25:41.226000+00:00,165
109,EileenBuck13,2024-06-11 22:28:08.753000+00:00,2024-06-11 22:28:08.753000+00:00,193
110,ivy688,2024-06-11 22:29:02.050000+00:00,2024-06-11 22:29:02.050000+00:00,5
111,ivy688,2024-06-11 22:29:55.708000+00:00,2024-06-11 22:29:55.708000+00:00,227
112,covid,2024-06-12 03:02:15.300000+00:00,2024-06-12 03:02:15.300000+00:00,165
113,medicare,2024-06-12 03:03:52.888000+00:00,2024-06-12 03:03:52.888000+00:00,165
114,USER NAME,2024-06-12 11:01:45.815000+00:00,2024-06-12 11:01:45.815000+00:00,302
115,AXIIV,2024-06-12 14:06:13.992000+00:00,2024-06-12 14:06:13.992000+00:00,236
116,i7fae4c8ba,2024-06-12 20:30:26.711000+00:00,2024-06-12 20:30:26.711000+00:00,118
117,robertp92871136,2024-06-12 20:32:00.165000+00:00,2024-06-12 20:32:00.165000+00:00,67
118,robertp92871136,2024-06-12 20:33:10.117000+00:00,2024-06-12 20:33:10.117000+00:00,246
119,Tendeadbunnies1,2024-06-12 20:36:21.343000+00:00,2024-06-12 20:36:21.343000+00:00,191
120,Tendeadbunnies1,2024-06-12 20:37:57.128000+00:00,2024-06-12 20:37:57.128000+00:00,309
121,maegan_laporte,2024-06-12 20:39:23.217000+00:00,2024-06-12 20:39:23.217000+00:00,355
122,i7fae4c8ba,2024-06-12 20:40:38.269000+00:00,2024-06-12 20:40:38.269000+00:00,264
123,Kraytur1,2024-06-12 20:44:58.265000+00:00,2024-06-12 20:44:58.265000+00:00,190
124,bull3_the,2024-06-12 20:45:25.348000+00:00,2024-06-12 20:45:25.348000+00:00,190
125,kimberlyanne68,2024-06-12 20:45:47.255000+00:00,2024-06-12 20:45:47.255000+00:00,190
126,ivy688,2024-06-12 20:46:51.479000+00:00,2024-06-12 20:46:51.479000+00:00,3
127,EileenBuck13,2024-06-12 20:47:02.381000+00:00,2024-06-12 20:47:02.381000+00:00,3
128,yingeli,2024-06-12 20:48:12.527000+00:00,2024-06-12 20:48:12.527000+00:00,66
129,sol_solely,2024-06-12 20:53:24.712000+00:00,2024-06-12 20:53:24.712000+00:00,302
130,ChgoPetMomma,2024-06-12 20:53:35.429000+00:00,2024-06-12 20:53:35.429000+00:00,302
131,Mikeallenswing,2024-06-12 20:54:33.984000+00:00,2024-06-12 20:54:33.984000+00:00,270
132,_AXIIV,2024-06-12 20:54:52.993000+00:00,2024-06-12 20:54:52.993000+00:00,270
133,mistyrose54,2024-06-12 20:55:12.547000+00:00,2024-06-12 20:55:12.547000+00:00,270
134,sol_solely,2024-06-12 20:56:01.931000+00:00,2024-06-12 20:56:01.931000+00:00,284
135,robertp92871136,2024-06-12 21:57:44.127000+00:00,2024-06-12 21:57:44.127000+00:00,7
136,Tendeadbunnies1,2024-06-12 21:58:09.897000+00:00,2024-06-12 21:58:09.897000+00:00,7
137,Tendeadbunnies1,2024-06-12 21:58:57.243000+00:00,2024-06-12 21:58:57.243000+00:00,118
138,3DViewmaster,2024-06-12 22:00:23.055000+00:00,2024-06-12 22:00:23.055000+00:00,83
139,kimberlyanne68,2024-06-12 22:00:38.582000+00:00,2024-06-12 22:00:38.582000+00:00,83
140,Kraytur1,2024-06-12 22:01:35.344000+00:00,2024-06-12 22:01:35.344000+00:00,236
141,Marmyla,2024-06-12 22:02:48.083000+00:00,2024-06-12 22:02:48.083000+00:00,347
142,jdf754,2024-06-12 22:03:04.283000+00:00,2024-06-12 22:03:04.283000+00:00,347
143,ShadowDogDesign,2024-06-12 22:04:42.023000+00:00,2024-06-12 22:04:42.023000+00:00,367
144,Landorcan,2024-06-12 22:04:52.291000+00:00,2024-06-12 22:04:52.291000+00:00,367
145,_ffxaa_,2024-06-12 22:06:38.523000+00:00,2024-06-12 22:06:38.523000+00:00,321
146,Jeremiah_cz,2024-06-12 22:07:41.288000+00:00,2024-06-12 22:07:41.288000+00:00,300
147,rev8056,2024-06-12 22:08:42.510000+00:00,2024-06-12 22:08:42.510000+00:00,101
148,CynicalVision50,2024-06-12 22:09:00.314000+00:00,2024-06-12 22:09:00.314000+00:00,101
149,bidensadisgrace,2024-06-12 22:11:23.516000+00:00,2024-06-12 22:11:23.516000+00:00,269
150,_ffxaa_,2024-06-12 22:11:39.649000+00:00,2024-06-12 22:11:39.649000+00:00,269
151,Tendeadbunnies1,2024-06-12 22:16:43.887000+00:00,2024-06-12 22:16:43.887000+00:00,327
152,bull3_the,2024-06-12 22:17:50.522000+00:00,2024-06-12 22:17:50.522000+00:00,329
153,hardy843,2024-06-12 22:18:15.014000+00:00,2024-06-12 22:18:15.014000+00:00,329
154,mike,2024-06-12 22:52:55.587000+00:00,2024-06-12 22:52:55.587000+00:00,236
155,kray,2024-06-12 22:56:32.847000+00:00,2024-06-12 22:56:32.847000+00:00,236
156,pipkin,2024-06-12 22:56:47.453000+00:00,2024-06-12 22:56:47.453000+00:00,236
157,mike,2024-06-12 22:57:00.266000+00:00,2024-06-12 22:57:00.266000+00:00,236
158,maegan,2024-06-12 22:58:44.709000+00:00,2024-06-12 22:58:44.709000+00:00,236
159,kray,2024-06-12 23:00:24.378000+00:00,2024-06-12 23:00:24.378000+00:00,236
160,mm,2024-06-12 23:10:11.534000+00:00,2024-06-12 23:10:11.534000+00:00,236
161,AXIIV,2024-06-12 23:10:56.505000+00:00,2024-06-12 23:10:56.505000+00:00,236
162,healthcare,2024-06-12 23:58:24.915000+00:00,2024-06-12 23:58:24.915000+00:00,165
163,healthcare,2024-06-12 23:59:58.460000+00:00,2024-06-12 23:59:58.460000+00:00,165
164,healthcare,2024-06-13 00:01:33.106000+00:00,2024-06-13 00:01:33.106000+00:00,165
165,wealth tax,2024-06-13 00:03:07.256000+00:00,2024-06-13 00:03:07.256000+00:00,165
166,wealth,2024-06-13 00:03:12.548000+00:00,2024-06-13 00:03:12.548000+00:00,165
167,wealth,2024-06-13 00:05:22.154000+00:00,2024-06-13 00:05:22.154000+00:00,165
168,gmo,2024-06-13 00:07:16.155000+00:00,2024-06-13 00:07:16.155000+00:00,165
169,wealth,2024-06-13 00:08:18.045000+00:00,2024-06-13 00:08:18.045000+00:00,165
170,wealth,2024-06-13 00:13:43.806000+00:00,2024-06-13 00:13:43.806000+00:00,165
171,healthcare,2024-06-13 00:13:58.956000+00:00,2024-06-13 00:13:58.956000+00:00,165
172,us,2024-06-13 00:14:26.307000+00:00,2024-06-13 00:14:26.307000+00:00,165
173,gmo,2024-06-13 00:34:03.149000+00:00,2024-06-13 00:34:03.149000+00:00,165
174,gmo follower,2024-06-13 00:34:17.470000+00:00,2024-06-13 00:34:17.470000+00:00,165
175,food,2024-06-13 00:34:25.877000+00:00,2024-06-13 00:34:25.877000+00:00,165
176,QuintonGodsell,2024-06-13 20:26:48.056000+00:00,2024-06-13 20:26:48.056000+00:00,362
177,Vmbritsch,2024-06-13 20:27:01.676000+00:00,2024-06-13 20:27:01.676000+00:00,362
178,i7fae4c8ba,2024-06-13 20:31:54.111000+00:00,2024-06-13 20:31:54.111000+00:00,118
179,i7fae4c8ba,2024-06-13 20:33:38.206000+00:00,2024-06-13 20:33:38.206000+00:00,159
180,food,2024-06-13 23:18:29.469000+00:00,2024-06-13 23:18:29.469000+00:00,165
181,food,2024-06-13 23:19:55.499000+00:00,2024-06-13 23:19:55.499000+00:00,165
182,gmo,2024-06-13 23:21:54.402000+00:00,2024-06-13 23:21:54.402000+00:00,165
183,food,2024-06-13 23:22:56.312000+00:00,2024-06-13 23:22:56.312000+00:00,165
184,food,2024-06-13 23:23:33.125000+00:00,2024-06-13 23:23:33.125000+00:00,165
185,AlexaAdams12,2024-06-14 00:20:43.287000+00:00,2024-06-14 00:20:43.287000+00:00,352
186,alcary09,2024-06-14 00:23:53.881000+00:00,2024-06-14 00:23:53.881000+00:00,273
187,alcary09,2024-06-14 00:24:50.725000+00:00,2024-06-14 00:24:50.725000+00:00,159
188,slutforsnax,2024-06-14 00:26:02.571000+00:00,2024-06-14 00:26:02.571000+00:00,292
189,sol_solely,2024-06-14 00:26:55.037000+00:00,2024-06-14 00:26:55.037000+00:00,68
190,deathtocrazy,2024-06-14 00:27:19.424000+00:00,2024-06-14 00:27:19.424000+00:00,68
191,roo_the_day,2024-06-14 00:28:10.810000+00:00,2024-06-14 00:28:10.810000+00:00,193
192,katalin_pota,2024-06-14 00:29:52.630000+00:00,2024-06-14 00:29:52.630000+00:00,360
193,_ffxaa_,2024-06-14 00:31:43.356000+00:00,2024-06-14 00:31:43.356000+00:00,106
194,ivy688,2024-06-14 00:32:02.845000+00:00,2024-06-14 00:32:02.845000+00:00,106
195,SunilDravidan,2024-06-14 00:33:05.164000+00:00,2024-06-14 00:33:05.164000+00:00,135
196,mistyrose54,2024-06-14 00:33:28.109000+00:00,2024-06-14 00:33:28.109000+00:00,135
197,ivy688,2024-06-14 00:34:45.396000+00:00,2024-06-14 00:34:45.396000+00:00,5
198,wakeham_cheryl,2024-06-14 00:36:25.494000+00:00,2024-06-14 00:36:25.494000+00:00,286
199,lapham923,2024-06-14 00:36:36.484000+00:00,2024-06-14 00:36:36.484000+00:00,286
200,Jon_Q_Vaxy,2024-06-14 00:37:44.360000+00:00,2024-06-14 00:37:44.360000+00:00,190
201,wakeham_cheryl,2024-06-14 00:37:58.435000+00:00,2024-06-14 00:37:58.435000+00:00,190
202,PasinGay1,2024-06-14 00:40:11.345000+00:00,2024-06-14 00:40:11.345000+00:00,328
203,Vmbritsch,2024-06-14 00:40:26.641000+00:00,2024-06-14 00:40:26.641000+00:00,328
204,PasinGay1,2024-06-14 00:41:39.180000+00:00,2024-06-14 00:41:39.180000+00:00,324
205,AyaAya_Papaya,2024-06-14 00:43:24.714000+00:00,2024-06-14 00:43:24.714000+00:00,202
206,WaShuGolf,2024-06-14 00:45:17.964000+00:00,2024-06-14 00:45:17.964000+00:00,320
207,mazisamobih,2024-06-14 00:45:40.184000+00:00,2024-06-14 00:45:40.184000+00:00,320
208,pistach01,2024-06-14 03:06:38.738000+00:00,2024-06-14 03:06:38.738000+00:00,236
209,food,2024-06-14 04:10:27.723000+00:00,2024-06-14 04:10:27.723000+00:00,165
210,,2024-06-14 04:11:20.530000+00:00,2024-06-14 04:11:20.530000+00:00,165
211,food,2024-06-14 04:12:19.454000+00:00,2024-06-14 04:12:19.454000+00:00,165
212,food,2024-06-14 04:13:11.315000+00:00,2024-06-14 04:13:11.315000+00:00,165
213,food,2024-06-14 04:13:43.789000+00:00,2024-06-14 04:13:43.789000+00:00,165
214,food,2024-06-14 04:14:06.394000+00:00,2024-06-14 04:14:06.394000+00:00,165
215,food,2024-06-14 04:14:44.314000+00:00,2024-06-14 04:14:44.314000+00:00,165
216,food,2024-06-14 04:15:44.249000+00:00,2024-06-14 04:15:44.249000+00:00,165
217,droll13,2024-06-14 14:28:40.725000+00:00,2024-06-14 14:28:40.725000+00:00,301
218,droll31,2024-06-14 14:29:42.819000+00:00,2024-06-14 14:29:42.819000+00:00,301
219,maureen,2024-06-14 16:30:01.062000+00:00,2024-06-14 16:30:01.062000+00:00,236
220,,2024-06-14 18:17:19.112000+00:00,2024-06-14 18:17:19.112000+00:00,165
221,,2024-06-14 18:17:54.353000+00:00,2024-06-14 18:17:54.353000+00:00,165
222,,2024-06-14 18:18:05.186000+00:00,2024-06-14 18:18:05.186000+00:00,165
223,,2024-06-14 18:18:36.678000+00:00,2024-06-14 18:18:36.678000+00:00,165
224,Hamish102822,2024-06-14 19:30:01.508000+00:00,2024-06-14 19:30:01.508000+00:00,150
225,Hamish102822,2024-06-14 19:41:25.566000+00:00,2024-06-14 19:41:25.566000+00:00,67
226,AlongCameDali,2024-06-14 19:42:31.231000+00:00,2024-06-14 19:42:31.231000+00:00,3
227,MSTwitir3K,2024-06-14 19:43:29.359000+00:00,2024-06-14 19:43:29.359000+00:00,205
228,jadapa,2024-06-14 19:45:38.719000+00:00,2024-06-14 19:45:38.719000+00:00,217
229,bruceblackford,2024-06-14 19:48:33.186000+00:00,2024-06-14 19:48:33.186000+00:00,176
230,sol_solely,2024-06-14 19:50:50.521000+00:00,2024-06-14 19:50:50.521000+00:00,264
231,slutforsnax,2024-06-14 19:51:10.665000+00:00,2024-06-14 19:51:10.665000+00:00,264
232,slutforsnax,2024-06-14 19:52:16.017000+00:00,2024-06-14 19:52:16.017000+00:00,246
233,sol_solely,2024-06-14 19:54:24.426000+00:00,2024-06-14 19:54:24.426000+00:00,159
234,alcary09,2024-06-14 19:55:21.262000+00:00,2024-06-14 19:55:21.262000+00:00,320
235,WaShuGolf,2024-06-14 19:56:48.700000+00:00,2024-06-14 19:56:48.700000+00:00,305
236,AlongCameDali,2024-06-14 19:59:25.344000+00:00,2024-06-14 19:59:25.344000+00:00,5
237,_AXIIV,2024-06-14 19:59:33.708000+00:00,2024-06-14 19:59:33.708000+00:00,5
238,oddballwoofwoof,2024-06-14 20:04:27.435000+00:00,2024-06-14 20:04:27.435000+00:00,91
239,Jeremiah_cz,2024-06-14 20:04:38.514000+00:00,2024-06-14 20:04:38.514000+00:00,91
240,,2024-06-14 23:29:56.952000+00:00,2024-06-14 23:29:56.952000+00:00,165
241,,2024-06-14 23:33:06.251000+00:00,2024-06-14 23:33:06.251000+00:00,165
242,,2024-06-14 23:34:20.808000+00:00,2024-06-14 23:34:20.808000+00:00,165
243,alcary,2024-06-14 23:55:43.228000+00:00,2024-06-14 23:55:43.228000+00:00,236
244,chiaking,2024-06-14 23:56:17.791000+00:00,2024-06-14 23:56:17.791000+00:00,236
245,marylis,2024-06-14 23:57:12.628000+00:00,2024-06-14 23:57:12.628000+00:00,236
246,covid,2024-06-15 01:36:15.435000+00:00,2024-06-15 01:36:15.435000+00:00,6
247,medicare,2024-06-15 01:37:11.376000+00:00,2024-06-15 01:37:11.376000+00:00,6
248,tax,2024-06-15 01:41:09.360000+00:00,2024-06-15 01:41:09.360000+00:00,6
249,gmo,2024-06-15 01:41:59.293000+00:00,2024-06-15 01:41:59.293000+00:00,6
250,covid,2024-06-15 01:49:27.975000+00:00,2024-06-15 01:49:27.975000+00:00,293
251,covid,2024-06-15 01:49:53.420000+00:00,2024-06-15 01:49:53.420000+00:00,293
252,medicare,2024-06-15 01:51:02.558000+00:00,2024-06-15 01:51:02.558000+00:00,293
253,tax,2024-06-15 01:53:36.531000+00:00,2024-06-15 01:53:36.531000+00:00,293
254,gmo,2024-06-15 01:55:03.302000+00:00,2024-06-15 01:55:03.302000+00:00,293
255,covid,2024-06-15 02:07:33.903000+00:00,2024-06-15 02:07:33.903000+00:00,95
256,medicare,2024-06-15 02:09:17.003000+00:00,2024-06-15 02:09:17.003000+00:00,95
257,wealth,2024-06-15 02:12:21.937000+00:00,2024-06-15 02:12:21.937000+00:00,95
258,gmo,2024-06-15 02:14:19.965000+00:00,2024-06-15 02:14:19.965000+00:00,95
